customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid
154910009,2022-09-05,2023-02-08,39,month,Yes
154911693,2022-09-05,2023-02-08,39,month,Yes
154894177,2022-09-05,2022-12-12,39,month,Yes
154494026,2022-09-05,2022-12-12,39,month,Yes
154245189,2022-09-05,2022-11-26,39,month,Yes
154604182,2022-09-05,2022-10-19,39,month,Yes
154711552,2022-09-05,2022-10-05,39,month,Yes
154827564,2022-09-05,2022-10-09,39,month,Yes
143581543,2022-09-05,2022-10-12,39,month,Yes
154867798,2022-09-05,2022-10-05,39,month,Yes
154863996,2022-09-05,2022-09-09,39,month,Yes
154923423,2022-09-06,,39,month,Yes
134664128,2022-09-06,,39,month,Yes
154828806,2022-09-06,2022-11-20,39,month,Yes
154934030,2022-09-06,2022-11-13,39,month,Yes
153671424,2022-09-06,2022-10-13,39,month,Yes
154693818,2022-09-06,2022-10-13,39,month,Yes
154110938,2022-09-06,2022-09-26,39,month,Yes
154809306,2022-09-06,2022-09-28,39,month,Yes
154537244,2022-09-07,,39,month,Yes
154163218,2022-09-07,,39,month,Yes
129467426,2022-09-07,2023-05-25,39,month,Yes
152498330,2022-09-07,2023-02-22,39,month,Yes
125335731,2022-09-07,2022-09-14,39,month,Yes
155113805,2022-09-08,,39,month,Yes
148864769,2022-09-08,2022-10-28,39,month,Yes
123850281,2022-09-08,2022-10-15,39,month,Yes
155167073,2022-09-08,2022-10-06,39,month,Yes
153684891,2022-09-08,2022-09-09,39,month,Yes
131277340,2022-09-09,2023-03-01,39,month,Yes
152027172,2022-09-09,2022-12-02,39,month,Yes
155212612,2022-09-09,2022-11-03,39,month,Yes
155188498,2022-09-09,2022-10-09,39,month,Yes
155145336,2022-09-09,2022-10-03,39,month,Yes
152506474,2022-09-09,2022-10-16,39,month,Yes
118029150,2022-09-09,2023-08-16,39,month,Yes
155245796,2022-09-10,,39,month,Yes
155326259,2022-09-10,2023-02-21,39,month,Yes
155311918,2022-09-10,2022-12-12,39,month,Yes
154391473,2022-09-10,2022-10-12,39,month,Yes
155283495,2022-09-10,2022-10-08,39,month,Yes
154597373,2022-09-10,2022-10-06,39,month,Yes
155370310,2022-09-11,2023-05-16,39,month,Yes
155289120,2022-09-11,2023-02-15,39,month,Yes
155351408,2022-09-11,2022-12-11,39,month,Yes
155336773,2022-09-11,2022-12-24,39,month,Yes
155017581,2022-09-11,2022-11-02,39,month,Yes
154401329,2022-09-11,2022-10-15,39,month,Yes
155334828,2022-09-11,2022-10-11,39,month,Yes
154815431,2022-09-11,2022-09-11,39,month,Yes
155343938,2022-09-11,2023-08-18,39,month,Yes
152436458,2022-09-12,2022-09-12,39,month,Yes
154689541,2022-09-12,2022-09-13,39,month,No
155425695,2022-09-12,2022-10-19,39,month,Yes
152698255,2022-09-12,2022-10-12,39,month,Yes
155406449,2022-09-13,2023-08-27,39,month,Yes
137338480,2022-09-13,2022-09-14,39,month,Yes
155508519,2022-09-13,2022-10-23,39,month,Yes
155463846,2022-09-13,2022-10-03,39,month,Yes
122335220,2022-09-13,2022-09-17,39,month,Yes
155460904,2022-09-13,2023-06-14,39,month,Yes
155534484,2022-09-14,2022-09-15,39,month,No
155465332,2022-09-14,2023-03-06,39,month,Yes
155562517,2022-09-14,2022-12-07,39,month,Yes
153577096,2022-09-14,2022-10-21,39,month,Yes
154937101,2022-09-15,,39,month,Yes
144968444,2022-09-15,2022-09-15,39,month,No
155270889,2022-09-15,2023-03-06,39,month,Yes
155601465,2022-09-15,2023-06-01,39,month,Yes
154045370,2022-09-15,2022-11-28,39,month,Yes
155612742,2022-09-15,2022-11-08,39,month,Yes
155621162,2022-09-15,2022-11-14,39,month,Yes
154904040,2022-09-15,2022-10-22,39,month,Yes
150810434,2022-09-15,2022-10-12,39,month,Yes
150825802,2022-09-15,2022-10-13,39,month,Yes
151907203,2022-09-15,2022-10-11,39,month,Yes
149595273,2022-09-15,2022-09-29,39,month,Yes
155596960,2022-09-15,2022-09-23,39,month,Yes
155192606,2022-09-16,,39,month,Yes
129111644,2022-09-16,2023-03-23,39,month,Yes
155426674,2022-09-16,2023-04-10,39,month,Yes
154389303,2022-09-16,2023-01-05,39,month,Yes
155671632,2022-09-16,2022-12-22,39,month,Yes
155663101,2022-09-16,2022-10-04,39,month,Yes
152084572,2022-09-17,,39,month,Yes
155783230,2022-09-17,2023-05-12,39,month,Yes
155714315,2022-09-17,2023-01-14,39,month,Yes
155774393,2022-09-17,2022-10-18,39,month,Yes
152901090,2022-09-18,2023-01-25,39,month,Yes
147029752,2022-09-18,2022-11-21,39,month,Yes
155809043,2022-09-18,2022-12-08,39,month,Yes
155180991,2022-09-18,2022-11-12,39,month,Yes
155713732,2022-09-18,2022-09-30,39,month,Yes
155204060,2022-09-18,2022-10-17,39,month,Yes
136817161,2022-09-19,2022-10-17,39,month,No
126212861,2022-09-19,2022-09-19,39,month,Yes
155265877,2022-09-19,2023-02-10,39,month,Yes
155916753,2022-09-19,2023-02-19,39,month,Yes
155927984,2022-09-19,2022-12-17,39,month,Yes
155876104,2022-09-19,2022-12-14,39,month,Yes
155733164,2022-09-19,2022-09-19,39,month,Yes
153832728,2022-09-19,2022-10-18,39,month,Yes
155876188,2022-09-19,2022-10-20,39,month,Yes
150687940,2022-09-19,2022-10-18,39,month,Yes
155967446,2022-09-20,,39,month,Yes
155687378,2022-09-20,2023-03-27,39,month,Yes
156020667,2022-09-20,2023-05-09,39,month,Yes
155869412,2022-09-20,2022-12-21,39,month,Yes
156042204,2022-09-20,2022-11-08,39,month,Yes
153568990,2022-09-20,2022-09-30,39,month,Yes
155327111,2022-09-20,2022-10-31,39,month,Yes
155270521,2022-09-20,2023-08-08,39,month,Yes
155991618,2022-09-21,2023-06-28,39,month,Yes
156045144,2022-09-21,2022-12-06,39,month,Yes
155439932,2022-09-21,2022-11-14,39,month,Yes
152674430,2022-09-21,2022-10-03,39,month,Yes
156135106,2022-09-22,,39,month,Yes
156185490,2022-09-22,2023-05-02,39,month,Yes
156180312,2022-09-22,2022-11-15,39,month,Yes
151263484,2022-09-22,2022-10-29,39,month,Yes
156008989,2022-09-22,2022-10-21,39,month,Yes
147687218,2022-09-22,2022-10-29,39,month,Yes
156235650,2022-09-23,,39,month,Yes
131128612,2022-09-23,2023-01-16,39,month,Yes
156198840,2022-09-23,2023-01-21,39,month,Yes
144166296,2022-09-23,2022-10-19,39,month,Yes
136108848,2022-09-23,2022-11-30,39,month,Yes
156225482,2022-09-23,2022-10-14,39,month,Yes
156209360,2022-09-23,2022-10-30,39,month,Yes
153492199,2022-09-24,2022-12-01,39,month,Yes
156127439,2022-09-24,2022-11-01,39,month,Yes
156197748,2022-09-24,2022-10-26,39,month,Yes
156292980,2022-09-25,,39,month,Yes
129284681,2022-09-25,2022-11-01,39,month,Yes
156249750,2022-09-25,2022-11-02,39,month,Yes
155143974,2022-09-25,2022-11-18,39,month,Yes
151354965,2022-09-25,2022-10-29,39,month,Yes
156178486,2022-09-25,2022-10-24,39,month,Yes
132314522,2022-09-26,2022-12-04,39,month,Yes
152505897,2022-09-26,2023-04-07,39,month,Yes
151086770,2022-09-26,2023-01-23,39,month,Yes
148713821,2022-09-26,2023-02-10,39,month,Yes
146422602,2022-09-26,2022-11-03,39,month,Yes
156460574,2022-09-26,2022-11-17,39,month,Yes
156364063,2022-09-26,2022-11-14,39,month,Yes
149139298,2022-09-26,2022-10-26,39,month,Yes
156371514,2022-09-26,2022-10-24,39,month,Yes
156423167,2022-09-27,2023-01-18,39,month,Yes
155199164,2022-09-27,2023-01-03,39,month,Yes
156373191,2022-09-27,2022-12-28,39,month,Yes
156517374,2022-09-27,2022-09-27,39,month,Yes
156032089,2022-09-28,,39,month,Yes
154563706,2022-09-28,2023-03-25,39,month,Yes
124481723,2022-09-28,2022-11-22,39,month,Yes
146861757,2022-09-28,2022-12-22,39,month,Yes
152476124,2022-09-28,2022-11-28,39,month,Yes
156192628,2022-09-28,2022-11-20,39,month,Yes
152109538,2022-09-28,2022-10-19,39,month,Yes
156659071,2022-09-28,2022-09-29,39,month,Yes
156717075,2022-09-29,2023-04-14,39,month,Yes
156715443,2022-09-29,2022-12-29,39,month,Yes
147656952,2022-09-29,2022-12-28,39,month,Yes
152918862,2022-09-29,2022-11-20,39,month,Yes
146866890,2022-09-29,2022-10-24,39,month,Yes
151735444,2022-09-30,,39,month,Yes
155608371,2022-09-30,2022-10-01,39,month,No
156809544,2022-09-30,2023-03-28,39,month,Yes
156813288,2022-09-30,2023-05-20,39,month,Yes
156817946,2022-09-30,2023-06-03,39,month,Yes
156194905,2022-09-30,2023-04-06,39,month,Yes
148568942,2022-09-30,2023-01-06,39,month,Yes
151154171,2022-09-30,2022-11-29,39,month,Yes
122921842,2022-09-30,2022-11-06,39,month,Yes
156754286,2022-10-01,,39,month,Yes
144160302,2022-10-01,2022-10-02,39,month,Yes
155045053,2022-10-01,2023-01-01,39,month,Yes
133869989,2022-10-01,2022-11-02,39,month,Yes
156863940,2022-10-01,2022-11-02,39,month,Yes
156884323,2022-10-01,2022-10-25,39,month,Yes
156365410,2022-10-01,2022-10-29,39,month,Yes
153957162,2022-10-02,,39,month,Yes
152436949,2022-10-02,2022-10-03,39,month,No
156403612,2022-10-02,2023-01-26,39,month,Yes
154198756,2022-10-02,2022-11-14,39,month,Yes
156917754,2022-10-02,2022-10-28,39,month,Yes
134975906,2022-10-03,2022-10-27,39,month,Yes
156955735,2022-10-03,2023-07-02,39,month,Yes
156982750,2022-10-03,2023-02-06,39,month,Yes
156953312,2022-10-03,2023-03-17,39,month,Yes
124642102,2022-10-03,2023-01-03,39,month,Yes
156940530,2022-10-03,2023-01-10,39,month,Yes
155602780,2022-10-03,2023-01-20,39,month,Yes
149635726,2022-10-03,2022-11-08,39,month,Yes
152660102,2022-10-03,2022-11-28,39,month,Yes
153620734,2022-10-03,2022-11-29,39,month,Yes
156940254,2022-10-03,2022-10-03,39,month,Yes
156940060,2022-10-03,2022-10-10,39,month,Yes
156938938,2022-10-03,2022-10-03,39,month,Yes
156955272,2022-10-04,2023-04-21,39,month,Yes
156941638,2022-10-04,2023-03-15,39,month,Yes
157154624,2022-10-04,2023-01-30,39,month,Yes
151677119,2022-10-04,2022-12-14,39,month,Yes
139465940,2022-10-04,2022-11-05,39,month,Yes
156895692,2022-10-05,,39,month,Yes
153587226,2022-10-05,,39,month,Yes
157295262,2022-10-05,2023-04-03,39,month,Yes
157284386,2022-10-05,2023-04-02,39,month,Yes
148762867,2022-10-05,2023-06-23,39,month,Yes
150433978,2022-10-05,2022-11-05,39,month,Yes
157272487,2022-10-05,2022-12-07,39,month,Yes
153776370,2022-10-06,2022-12-06,39,month,Yes
157371444,2022-10-06,2022-12-08,39,month,Yes
157095464,2022-10-06,2023-07-13,39,month,Yes
153554190,2022-10-07,,39,month,Yes
157411994,2022-10-07,,39,month,Yes
157374056,2022-10-07,2022-11-07,39,month,Yes
157397941,2022-10-07,2022-11-03,39,month,Yes
157234944,2022-10-07,2022-10-24,39,month,Yes
157490039,2022-10-08,2023-03-15,39,month,Yes
157484010,2022-10-08,2023-03-15,39,month,Yes
125038257,2022-10-08,2022-11-17,39,month,Yes
157400730,2022-10-08,2022-10-26,39,month,Yes
157450645,2022-10-08,2022-10-18,39,month,Yes
156943008,2022-10-09,2022-10-10,39,month,Yes
127328047,2022-10-09,2023-01-16,39,month,Yes
157506842,2022-10-09,2022-11-15,39,month,Yes
150924853,2022-10-09,2022-11-23,39,month,Yes
156996568,2022-10-10,,39,month,Yes
157627904,2022-10-10,2023-01-11,39,month,Yes
157058101,2022-10-10,2022-11-09,39,month,Yes
157394598,2022-10-11,2022-10-12,39,month,No
157765918,2022-10-11,2022-10-12,39,month,No
157746458,2022-10-11,2023-04-25,39,month,Yes
157590918,2022-10-11,2023-02-12,39,month,Yes
157290992,2022-10-11,2023-01-10,39,month,Yes
156895701,2022-10-11,2022-12-18,39,month,Yes
155926313,2022-10-11,2022-11-28,39,month,Yes
156110000,2022-10-11,2022-11-16,39,month,Yes
157851493,2022-10-12,2023-04-04,39,month,Yes
157792408,2022-10-12,2023-06-10,39,month,Yes
157868778,2022-10-12,2022-11-07,39,month,Yes
157833252,2022-10-12,2022-10-23,39,month,Yes
149662340,2022-10-13,,39,month,Yes
126918448,2022-10-13,,39,month,Yes
136897370,2022-10-13,2023-01-17,39,month,Yes
157921307,2022-10-13,2023-05-30,39,month,Yes
157905868,2022-10-13,2023-02-06,39,month,Yes
152377785,2022-10-13,2023-01-11,39,month,Yes
157567612,2022-10-13,2022-11-03,39,month,Yes
157993772,2022-10-15,2022-10-15,39,month,No
148769034,2022-10-15,2023-03-13,39,month,Yes
158050283,2022-10-15,2023-07-07,39,month,Yes
157436507,2022-10-16,,39,month,Yes
123808301,2022-10-16,2022-10-27,39,month,Yes
158033452,2022-10-16,2023-03-02,39,month,Yes
156796659,2022-10-16,2023-03-09,39,month,Yes
158093021,2022-10-16,2022-12-27,39,month,Yes
157900412,2022-10-16,2022-11-09,39,month,Yes
152892719,2022-10-16,2022-10-16,39,month,Yes
158009130,2022-10-17,,39,month,Yes
157904656,2022-10-17,2022-12-15,39,month,Yes
157838980,2022-10-17,2023-02-16,39,month,Yes
123402996,2022-10-17,2023-01-04,39,month,Yes
158112356,2022-10-17,2022-12-30,39,month,Yes
152410420,2022-10-17,2022-11-18,39,month,Yes
158164441,2022-10-17,2022-11-17,39,month,Yes
153956466,2022-10-17,2022-11-17,39,month,Yes
158100990,2022-10-17,2022-11-14,39,month,Yes
158096894,2022-10-17,2022-11-14,39,month,Yes
158066376,2022-10-17,2022-11-08,39,month,Yes
158220808,2022-10-18,,39,month,No
131779624,2022-10-18,2022-11-25,39,month,Yes
158267390,2022-10-18,2022-12-25,39,month,Yes
152354478,2022-10-18,2023-02-02,39,month,Yes
146376235,2022-10-18,2022-12-07,39,month,Yes
153953296,2022-10-18,2022-11-02,39,month,Yes
154659594,2022-10-18,2022-11-14,39,month,Yes
157998778,2022-10-18,2022-11-25,39,month,Yes
150668840,2022-10-18,2022-11-01,39,month,Yes
158184958,2022-10-18,2022-11-02,39,month,Yes
158362440,2022-10-19,2023-05-19,39,month,Yes
158477370,2022-10-19,2023-02-21,39,month,Yes
158047538,2022-10-19,2023-01-22,39,month,Yes
157910445,2022-10-19,2023-01-15,39,month,Yes
154091460,2022-10-19,2023-06-21,39,month,Yes
158532103,2022-10-20,2023-05-13,39,month,Yes
158591698,2022-10-20,2023-03-17,39,month,Yes
158533909,2022-10-20,2023-01-27,39,month,Yes
156372496,2022-10-20,2022-12-15,39,month,Yes
158620475,2022-10-20,2023-07-28,39,month,Yes
158539824,2022-10-20,2023-06-20,39,month,Yes
158499042,2022-10-21,,39,month,Yes
158755464,2022-10-21,2022-11-28,39,month,Yes
149112756,2022-10-21,2023-05-28,39,month,Yes
149065622,2022-10-21,2022-12-28,39,month,Yes
158656065,2022-10-21,2022-12-30,39,month,Yes
158756090,2022-10-21,2022-11-02,39,month,Yes
158447710,2022-10-21,2022-11-18,39,month,Yes
157568391,2022-10-21,2022-11-21,39,month,Yes
157505106,2022-10-22,,39,month,Yes
158761363,2022-10-22,2023-02-26,39,month,Yes
144858980,2022-10-22,2022-12-22,39,month,Yes
151000288,2022-10-22,2022-12-22,39,month,Yes
136276852,2022-10-22,2022-11-22,39,month,Yes
158767852,2022-10-22,2022-11-29,39,month,Yes
158849640,2022-10-23,,39,month,Yes
151491892,2022-10-23,2022-10-24,39,month,Yes
157474087,2022-10-23,2022-12-30,39,month,Yes
157997679,2022-10-23,2023-06-18,39,month,Yes
158566772,2022-10-23,2023-02-21,39,month,Yes
157788656,2022-10-23,2022-12-20,39,month,Yes
158832658,2022-10-23,2022-11-02,39,month,Yes
130837976,2022-10-23,2022-11-23,39,month,Yes
159095030,2022-10-24,2023-02-16,39,month,Yes
159028041,2022-10-24,2022-12-01,39,month,Yes
159018168,2022-10-24,2022-12-01,39,month,Yes
157981870,2022-10-24,2022-11-07,39,month,Yes
153061698,2022-10-24,2022-11-24,39,month,Yes
159204523,2022-10-25,,39,month,Yes
159236268,2022-10-25,,39,month,No
159256553,2022-10-25,2023-01-10,39,month,Yes
159211568,2022-10-25,2023-01-02,39,month,Yes
154778395,2022-10-25,2022-11-28,39,month,Yes
157961180,2022-10-25,2022-11-24,39,month,Yes
159281338,2022-10-26,,39,month,Yes
159364232,2022-10-26,,39,month,Yes
159276280,2022-10-26,,39,month,Yes
159326830,2022-10-26,2022-10-27,39,month,Yes
158144924,2022-10-26,2023-02-23,39,month,Yes
159239867,2022-10-26,2022-12-15,39,month,Yes
159108970,2022-10-26,2022-12-20,39,month,Yes
158644133,2022-10-26,2022-11-26,39,month,Yes
153830193,2022-10-26,2022-10-27,39,month,Yes
159664292,2022-10-27,,39,month,Yes
152937944,2022-10-27,2022-10-28,39,month,No
159446393,2022-10-27,2023-04-19,39,month,Yes
156837717,2022-10-27,2023-06-11,39,month,Yes
149000400,2022-10-27,2023-02-26,39,month,Yes
157923615,2022-10-27,2023-01-03,39,month,Yes
159699736,2022-10-27,2022-11-25,39,month,Yes
150816815,2022-10-27,2022-11-16,39,month,Yes
159634168,2022-10-27,2023-06-30,39,month,Yes
158114418,2022-10-28,,39,month,Yes
159706104,2022-10-28,,39,month,Yes
150704581,2022-10-28,2023-05-10,39,month,Yes
159733207,2022-10-28,2023-02-27,39,month,Yes
159775056,2022-10-28,2023-03-31,39,month,Yes
144328609,2022-10-28,2022-12-25,39,month,Yes
153172687,2022-10-28,2023-08-21,39,month,Yes
159861170,2022-10-29,,39,month,Yes
133474642,2022-10-29,2022-12-20,39,month,Yes
159817608,2022-10-29,2023-03-23,39,month,Yes
159867686,2022-10-29,2023-01-05,39,month,Yes
158484064,2022-10-29,2023-01-05,39,month,Yes
159829834,2022-10-30,,39,month,Yes
159875790,2022-10-30,2023-03-07,39,month,Yes
155520280,2022-10-30,2022-12-07,39,month,Yes
159783942,2022-10-30,2022-12-28,39,month,Yes
149696432,2022-10-30,2022-11-26,39,month,Yes
159979372,2022-10-31,,39,month,Yes
153814649,2022-10-31,,39,month,Yes
159931469,2022-10-31,,39,month,Yes
138061210,2022-10-31,2022-10-31,39,month,Yes
141403460,2022-10-31,2023-01-16,39,month,Yes
159991922,2022-10-31,2022-12-17,39,month,Yes
159241648,2022-10-31,2022-12-14,39,month,Yes
150703411,2022-10-31,2022-12-01,39,month,Yes
159773641,2022-10-31,2022-11-15,39,month,Yes
128002797,2022-10-31,2022-11-30,39,month,Yes
155807489,2022-11-01,2022-11-02,39,month,No
143077712,2022-11-01,2022-11-02,39,month,No
159745646,2022-11-01,2023-04-14,39,month,Yes
139004918,2022-11-01,2022-12-01,39,month,Yes
153255183,2022-11-01,2023-02-16,39,month,Yes
157708746,2022-11-01,2023-01-31,39,month,Yes
155652993,2022-11-01,2023-01-08,39,month,Yes
159977918,2022-11-01,2023-01-24,39,month,Yes
160108159,2022-11-01,2022-12-04,39,month,Yes
160051910,2022-11-01,2022-11-09,39,month,Yes
146169043,2022-11-01,2023-08-10,39,month,Yes
159927090,2022-11-02,,39,month,Yes
149188028,2022-11-02,,39,month,Yes
138535334,2022-11-02,2022-12-15,39,month,Yes
159901871,2022-11-02,2022-12-09,39,month,Yes
159620660,2022-11-02,2022-12-12,39,month,Yes
160199525,2022-11-02,2022-11-23,39,month,Yes
160183686,2022-11-03,2022-11-04,39,month,No
152504354,2022-11-03,2023-03-03,39,month,Yes
143164854,2022-11-03,2023-02-18,39,month,Yes
160366020,2022-11-03,2022-12-03,39,month,Yes
160298168,2022-11-03,2022-12-02,39,month,Yes
160243008,2022-11-03,2022-12-29,39,month,Yes
150878120,2022-11-03,2022-12-10,39,month,Yes
160208723,2022-11-04,,39,month,Yes
153539322,2022-11-04,2023-02-07,39,month,Yes
160164472,2022-11-04,2023-02-24,39,month,Yes
160193644,2022-11-04,2023-01-11,39,month,Yes
156294098,2022-11-04,2022-12-03,39,month,Yes
146625866,2022-11-04,2022-11-19,39,month,Yes
157663870,2022-11-05,2022-11-06,39,month,Yes
159679042,2022-11-05,2022-11-06,39,month,No
160558904,2022-11-05,2023-01-24,39,month,Yes
127836197,2022-11-05,2022-11-05,39,month,Yes
155334332,2022-11-05,2022-12-04,39,month,Yes
160523170,2022-11-05,2022-12-12,39,month,Yes
156907890,2022-11-05,2022-11-05,39,month,Yes
160608516,2022-11-05,2023-08-03,39,month,Yes
113181220,2022-11-05,2023-07-23,39,month,Yes
159790393,2022-11-06,2023-02-13,39,month,Yes
147813476,2022-11-06,2023-01-27,39,month,Yes
156078158,2022-11-06,2023-01-25,39,month,Yes
154879898,2022-11-06,2022-11-17,39,month,Yes
136157937,2022-11-06,2022-12-13,39,month,Yes
160176868,2022-11-06,2022-12-01,39,month,Yes
160622888,2022-11-06,2022-11-06,39,month,Yes
158736659,2022-11-07,,39,month,Yes
160813660,2022-11-07,,39,month,Yes
158524240,2022-11-07,,39,month,Yes
160702738,2022-11-07,,39,month,Yes
138919619,2022-11-07,2022-12-06,39,month,Yes
121571816,2022-11-07,2023-03-26,39,month,Yes
160623955,2022-11-07,2023-07-05,39,month,Yes
160010850,2022-11-07,2023-03-09,39,month,Yes
160823268,2022-11-07,2023-02-06,39,month,Yes
158992873,2022-11-07,2023-02-14,39,month,Yes
159878556,2022-11-07,2022-12-07,39,month,Yes
160833652,2022-11-07,2022-12-14,39,month,Yes
157663870,2022-11-07,2022-12-08,39,month,Yes
160615413,2022-11-07,2022-12-25,39,month,Yes
156207052,2022-11-07,2022-12-04,39,month,Yes
160103792,2022-11-07,2022-11-07,39,month,Yes
160969302,2022-11-09,2023-08-30,39,month,Yes
149648746,2022-11-09,2023-06-02,39,month,Yes
155643390,2022-11-09,2023-03-31,39,month,Yes
119294384,2022-11-09,2023-03-02,39,month,Yes
160171541,2022-11-09,2023-01-03,39,month,Yes
150569213,2022-11-09,2022-12-16,39,month,Yes
156710028,2022-11-10,2023-03-07,39,month,Yes
157670310,2022-11-10,2023-02-01,39,month,Yes
157091067,2022-11-10,2023-02-12,39,month,Yes
159639128,2022-11-10,2022-11-10,39,month,Yes
149728468,2022-11-11,2022-11-12,39,month,Yes
160714172,2022-11-11,2022-12-31,39,month,Yes
161464205,2022-11-11,2022-12-16,39,month,Yes
141084753,2022-11-12,2023-04-19,39,month,Yes
161768948,2022-11-12,2023-04-05,39,month,Yes
161692109,2022-11-12,2023-02-19,39,month,Yes
161424706,2022-11-12,2022-12-09,39,month,Yes
153186137,2022-11-12,2022-11-12,39,month,Yes
158906669,2022-11-13,2023-02-12,39,month,Yes
154085972,2022-11-13,2022-12-05,39,month,Yes
162409676,2022-11-14,,39,month,Yes
157438261,2022-11-14,,39,month,Yes
132579012,2022-11-14,2023-03-14,39,month,Yes
129140042,2022-11-14,2023-02-09,39,month,Yes
147100996,2022-11-14,2023-01-15,39,month,Yes
158437198,2022-11-14,2023-03-26,39,month,Yes
162343403,2022-11-14,2023-03-16,39,month,Yes
162218672,2022-11-14,2023-03-09,39,month,Yes
120738319,2022-11-14,2023-04-03,39,month,Yes
162147786,2022-11-14,2023-04-14,39,month,Yes
153165084,2022-11-14,2023-02-08,39,month,Yes
161815335,2022-11-14,2023-02-19,39,month,Yes
162294529,2022-11-14,2023-02-07,39,month,Yes
162176080,2022-11-14,2023-02-05,39,month,Yes
162412232,2022-11-14,2022-12-21,39,month,Yes
158575772,2022-11-14,2022-12-16,39,month,Yes
162247173,2022-11-14,2022-12-11,39,month,Yes
153630282,2022-11-14,2022-12-08,39,month,Yes
156699431,2022-11-14,2022-11-23,39,month,Yes
148018000,2022-11-14,2023-08-01,39,month,Yes
161623906,2022-11-15,,39,month,Yes
145664226,2022-11-15,,39,month,Yes
162529715,2022-11-15,2023-03-22,39,month,Yes
162581284,2022-11-15,2022-12-11,39,month,Yes
152655443,2022-11-15,2023-01-24,39,month,Yes
162443327,2022-11-15,2023-01-12,39,month,Yes
148348600,2022-11-15,2022-12-13,39,month,Yes
162992590,2022-11-16,,39,month,Yes
156633222,2022-11-16,2022-11-16,39,month,No
133595094,2022-11-16,2023-03-03,39,month,Yes
147770763,2022-11-16,2023-03-03,39,month,Yes
155370139,2022-11-16,2023-03-23,39,month,Yes
151890876,2022-11-16,2023-02-23,39,month,Yes
162920304,2022-11-16,2023-01-15,39,month,Yes
148838269,2022-11-16,2022-11-16,39,month,Yes
162913792,2022-11-16,2023-08-23,39,month,Yes
152316740,2022-11-17,,39,month,Yes
135480868,2022-11-17,2023-01-26,39,month,Yes
136315690,2022-11-17,2023-02-24,39,month,Yes
163224262,2022-11-17,2023-02-12,39,month,Yes
163330072,2022-11-17,2023-01-24,39,month,Yes
134646164,2022-11-17,2022-12-24,39,month,Yes
163282336,2022-11-17,2023-08-10,39,month,Yes
162490128,2022-11-18,,39,month,Yes
147122277,2022-11-18,2022-11-19,39,month,No
163623375,2022-11-18,2022-11-19,39,month,No
132918654,2022-11-18,2023-01-18,39,month,Yes
160601062,2022-11-18,2023-01-09,39,month,Yes
144573808,2022-11-18,2023-01-18,39,month,Yes
114435366,2022-11-18,2022-11-18,39,month,Yes
163399934,2022-11-18,2022-11-18,39,month,Yes
133599090,2022-11-19,2023-03-11,39,month,Yes
154767246,2022-11-19,2022-12-20,39,month,Yes
164085988,2022-11-19,2022-12-20,39,month,Yes
164255751,2022-11-20,2023-08-21,39,month,Yes
150663530,2022-11-20,2023-04-27,39,month,Yes
